,SCOREMARGIN,index,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
35,TIE,50,Jump Shot,2.556674891,203076,Anthony Davis,29.52111,36.465,Made Shot,20151031,351,21500035,Shot Chart Detail,0,NOP,31,38,9,3,201939,Stephen Curry,Regular,12,1,28,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:9:12,GSW
36,-5,51,Jump Shot,12.87732124,202337,Luke Babbitt,38.8655,47.21213,Made Shot,20151031,361,21500035,Shot Chart Detail,0,NOP,51,45,8,3,201939,Stephen Curry,Regular,5,1,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:8:05,GSW
37,-6,52,Jump Shot,1.056789162,203076,Anthony Davis,32.03473,35.14029,Made Shot,20151031,363,21500035,Shot Chart Detail,0,NOP,32,36,7,3,201939,Stephen Curry,Regular,40,1,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:7:40,GSW
38,-9,53,Jump Shot,7.398465393,202087,Alonzo Gee,78.09985,2.22445,Made Shot,20151031,372,21500035,Shot Chart Detail,0,NOP,78,9,6,3,201939,Stephen Curry,Regular,30,1,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500035:3:6:30,GSW
39,-9,54,Jump Shot,6.818974151,201967,Dante Cunningham,82.52272,1.90908,Missed Shot,20151031,375,21500035,Shot Chart Detail,0,NOP,81,8,6,3,201939,Stephen Curry,Regular,15,1,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500035:3:6:15,GSW
40,-10,55,Running Finger Roll Layup Shot,5.216404483,202337,Luke Babbitt,10.46704,29.019,Made Shot,20151031,383,21500035,Shot Chart Detail,0,NOP,9,23,5,3,201939,Stephen Curry,Regular,6,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500035:3:5:06,GSW
41,-8,56,Jump Shot,3.736621082,201962,Toney Douglas,19.95239,5.43805,Made Shot,20151031,396,21500035,Shot Chart Detail,0,NOP,18,1,3,3,201939,Stephen Curry,Regular,49,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:3:49,GSW
42,-8,57,Driving Layup Shot,4.149560093,202337,Luke Babbitt,5.96087,23.22042,Made Shot,20151031,407,21500035,Shot Chart Detail,0,NOP,1,22,2,3,201939,Stephen Curry,Regular,40,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500035:3:2:40,GSW
43,-12,58,Layup Shot,11.81346505,202337,Luke Babbitt,1.53552,24.52929,Made Shot,20151031,414,21500035,Shot Chart Detail,0,NOP,0,12,1,3,201939,Stephen Curry,Regular,34,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500035:3:1:34,GSW
44,-12,59,Driving Layup Shot,4.240043425,203076,Anthony Davis,1.8338,29.55683,Made Shot,20151031,418,21500035,Shot Chart Detail,0,NOP,-1,32,1,3,201939,Stephen Curry,Regular,1,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500035:3:1:01,GSW
45,-15,60,Jump Shot,5.079260802,202087,Alonzo Gee,25.10514,9.17463,Made Shot,20151031,421,21500035,Shot Chart Detail,0,NOP,25,4,0,3,201939,Stephen Curry,Regular,39,1,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:0:39,GSW
46,-14,61,Jump Shot,6.554704966,201962,Toney Douglas,26.03297,25.60557,Missed Shot,20151031,426,21500035,Shot Chart Detail,0,NOP,30,21,0,3,201939,Stephen Curry,Regular,9,1,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:0:09,GSW
47,-13,62,Step Back Jump shot,6.992343831,201569,Eric Gordon,8.90364,39.8439,Made Shot,20151031,493,21500035,Shot Chart Detail,0,NOP,11,46,6,4,201939,Stephen Curry,Regular,9,1,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500035:4:6:09,GSW
48,-13,63,Jump Shot,4.639724213,201569,Eric Gordon,26.28362,26.7117,Missed Shot,20151031,495,21500035,Shot Chart Detail,0,NOP,23,22,5,4,201939,Stephen Curry,Regular,44,1,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500035:4:5:44,GSW
49,-13,64,Fadeaway Jump Shot,5.69997486,201950,Jrue Holiday,5.61432,10.81364,Made Shot,20151031,539,21500035,Shot Chart Detail,0,NOP,0,8,3,4,201939,Stephen Curry,Regular,13,1,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500035:4:3:13,GSW
50,-12,65,Jump Shot,2.60549272,202337,Luke Babbitt,30.92983,33.96717,Made Shot,20151031,556,21500035,Shot Chart Detail,0,NOP,33,34,2,4,201939,Stephen Curry,Regular,11,1,29,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:4:2:11,GSW
51,-16,66,Jump Shot,5.067056806,202337,Luke Babbitt,8.59627,0.4326,Missed Shot,20151031,570,21500035,Shot Chart Detail,0,NOP,3,-1,1,4,201939,Stephen Curry,Regular,0,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:4:1:00,GSW
52,-13,67,Jump Shot,4.829106363,203076,Anthony Davis,4.6784,37.85301,Missed Shot,20151031,573,21500035,Shot Chart Detail,0,NOP,0,40,0,4,201939,Stephen Curry,Regular,34,1,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500035:4:0:34,GSW
53,3,68,Jump Shot,11.5960851,201144,Mike Conley,16.84675,48.88648,Made Shot,20151102,11,21500051,Shot Chart Detail,1,GSW,28,49,10,1,201939,Stephen Curry,Regular,36,1,28,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:1:10:36,MEM
54,4,69,Running Jump Shot,4.684412985,201144,Mike Conley,22.36877,38.834,Made Shot,20151102,17,21500051,Shot Chart Detail,1,GSW,18,36,9,1,201939,Stephen Curry,Regular,34,1,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500051:1:9:34,MEM
55,1,70,Jump Shot,11.6413984,2754,Tony Allen,29.52633,32.65852,Missed Shot,20151102,29,21500051,Shot Chart Detail,1,GSW,36,23,8,1,201939,Stephen Curry,Regular,5,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:1:8:05,MEM
